,dates,FB,NFLX,GOOGL,MSFT,AMZN,ADBE,avg_pos,avg_subj,news_cnt
0,2010-01-01,,,,,,,,,
1,2010-01-02,,,,,,,,,
2,2010-01-03,,,,,,,,,
3,2010-01-04,,7.64,314.3454,24.171,133.9,37.09,,,
4,2010-01-05,,7.3586,312.9611,24.1788,134.69,37.7,,,
5,2010-01-06,,7.6171,305.0717,24.0304,132.25,37.62,,,
6,2010-01-07,,7.4857,297.9698,23.782,130.0,36.89,,,
7,2010-01-08,,7.6143,301.9421,23.9445,133.52,36.69,,,
8,2010-01-09,,,,,,,,,
9,2010-01-10,,,,,,,,,
10,2010-01-11,,7.6043,301.4857,23.6399,130.308,36.21,,,
11,2010-01-12,,7.4814,296.1542,23.4837,127.35,35.66,,,
12,2010-01-13,,7.7086,294.454,23.7024,129.11,36.28,,,
13,2010-01-14,,7.2843,295.8382,24.1788,127.35,35.9,,,
14,2010-01-15,,7.2786,290.898,24.1007,127.14,35.87,,,
15,2010-01-16,,,,,,,,,
16,2010-01-17,,,,,,,,,
17,2010-01-18,,,,,,,,,
18,2010-01-19,,7.3143,294.7198,24.2881,127.61,36.95,,,
19,2010-01-20,,7.32,291.1036,23.8859,125.78,36.49,,,
20,2010-01-21,,7.3128,292.3926,23.4369,126.62,35.82,,,
21,2010-01-22,,7.27,275.8565,22.6168,121.43,34.38,,,
22,2010-01-23,,,,,,,,,
23,2010-01-24,,,,,,,,,
24,2010-01-25,,7.0186,270.836,22.898,120.31,34.16,,,
25,2010-01-26,,7.1357,272.0498,23.0386,119.48,33.94,,,
26,2010-01-27,,7.2814,271.8893,23.1713,122.75,33.14,,,
27,2010-01-28,,9.0057,267.9722,22.773,126.03,32.89,,,
28,2010-01-29,,8.8928,265.7925,22.0077,125.41,32.3,,,
29,2010-01-30,,,,,,,,,
30,2010-01-31,,,,,,,,,
31,2010-02-01,,8.7186,267.3352,22.1873,118.87,32.48,,,
32,2010-02-02,,8.8357,266.3823,22.2264,118.12,32.98,,,
33,2010-02-03,,8.85,271.2473,22.3591,119.1,32.98,,,
34,2010-02-04,,8.62,264.2046,21.7422,115.94,32.24,,,
35,2010-02-05,,8.6914,266.4676,21.8827,117.39,32.77,,,
36,2010-02-06,,,,,,,,,
37,2010-02-07,,,,,,,,,
38,2010-02-08,,8.7,267.5609,21.6484,116.83,32.05,,,
39,2010-02-09,,8.8757,269.0505,21.8749,118.03,32.31,,,
40,2010-02-10,,8.7843,268.0499,21.8593,117.36,32.76,,,
41,2010-02-11,,9.0514,269.0305,21.9608,120.09,32.64,,,
42,2010-02-12,,9.0257,267.3854,21.8124,119.66,31.45,,,
43,2010-02-13,,,,,,,,,
44,2010-02-14,,,,,,,,,
45,2010-02-15,,,,,,,,,
46,2010-02-16,,9.2657,271.4881,22.242,117.53,31.81,,,
47,2010-02-17,,9.2157,269.9368,22.4303,116.31,32.33,,,
48,2010-02-18,,9.4428,272.451,22.7276,118.08,33.24,,,
49,2010-02-19,,9.5214,271.2187,22.5715,117.52,33.88,,,
50,2010-02-20,,,,,,,,,
51,2010-02-21,,,,,,,,,
52,2010-02-22,,9.3243,272.2404,22.5401,118.01,33.7,,,
53,2010-02-23,,9.1928,268.3634,22.2263,117.24,33.44,,,
54,2010-02-24,,9.2414,266.5578,22.4616,119.72,34.55,,,
55,2010-02-25,,9.3728,264.03,22.4381,118.2,34.56,,,
56,2010-02-26,,9.4357,264.2156,22.493,118.4,34.65,,,
57,2010-02-27,,,,,,,,,
58,2010-02-28,,,,,,,,,
59,2010-03-01,,9.9571,267.1697,22.7676,124.54,34.89,,,
60,2010-03-02,,9.8543,271.3677,22.3283,125.53,34.74,,,
61,2010-03-03,,9.65,273.5043,22.3283,125.89,34.82,,,
62,2010-03-04,,9.7157,278.1536,22.4616,128.53,34.94,,,
63,2010-03-05,,9.6643,282.9785,22.4283,128.91,35.16,,,
64,2010-03-06,,,,,,,,,
65,2010-03-07,,,,,,,,,
66,2010-03-08,,9.8114,282.1108,22.4616,130.11,35.06,,,
67,2010-03-09,,9.9914,280.9623,22.595,128.82,35.12,,,
68,2010-03-10,,10.1828,289.1175,22.7284,130.51,35.15,,,
69,2010-03-11,,10.17,291.4697,22.8931,133.58,35.22,,,
70,2010-03-12,,9.9971,290.6673,22.9638,131.82,35.16,,,
71,2010-03-13,,,,,,,,,
72,2010-03-14,,,,,,,,,
73,2010-03-15,,9.9428,282.4619,22.9794,131.13,35.49,,,
74,2010-03-16,,10.09,283.4751,23.0422,131.79,35.02,,,
75,2010-03-17,,10.1314,283.6556,23.2462,131.34,35.49,,,
76,2010-03-18,,10.0771,284.0769,23.2305,132.76,35.75,,,
77,2010-03-19,,10.0643,280.867,23.2148,130.35,34.67,,,
78,2010-03-20,,,,,,,,,
79,2010-03-21,,,,,,,,,
80,2010-03-22,,10.4128,279.6131,23.2227,130.47,34.95,,,
81,2010-03-23,,10.4228,275.35,23.4423,129.26,35.22,,,
82,2010-03-24,,10.3386,279.5279,23.2619,128.04,36.51,,,
83,2010-03-25,,10.5057,282.3115,23.5443,134.73,35.87,,,
84,2010-03-26,,10.6143,282.2162,23.2697,135.06,35.51,,,
85,2010-03-27,,,,,,,0.39999999999999997,0.7999999999999999,1.0
86,2010-03-28,,,,,,,,,
87,2010-03-29,,10.5571,282.0958,23.2148,135.12,35.74,,,
88,2010-03-30,,10.7228,284.2324,23.356,136.579,35.68,,,
89,2010-03-31,,10.5343,284.438,22.9775,135.77,35.37,,,
90,2010-04-01,,10.7143,285.2806,22.8775,131.81,35.74,,,
91,2010-04-02,,,,,,,,,
92,2010-04-03,,,,,,,,,
93,2010-04-04,,,,,,,,,
94,2010-04-05,,11.4271,286.3891,22.9638,131.49,35.99,,,
95,2010-04-06,,11.91,284.9897,23.003,135.56,35.7,,,
96,2010-04-07,,11.39,282.6425,23.0265,134.87,35.06,,,
97,2010-04-08,,11.69,284.6236,23.4737,140.96,34.94,0.5,0.5,1.0
98,2010-04-09,,11.7743,283.9866,23.8032,140.06,35.47,,,
99,2010-04-10,,,,,,,,,
100,2010-04-11,,,,,,,,,
101,2010-04-12,,11.8828,287.2517,23.7875,141.2,35.02,,,
102,2010-04-13,,12.34,294.2935,23.8895,140.16,34.75,0.25,0.2833333333333333,1.0
